variable,label
DSQ128M,"For healthy skin, hair and nails"
DSQ128N,For weight loss
DSQ128O,For bone health
DSQ128P,To get more energy
DSQ128Q,For pregnancy/breastfeeding
DSQ128R,"For anemia, such as low iron"
DSD128T,"To maintain blood sugar, diabetes"
DSD128V,For kidney and bladder health
DSD128W,"For respiratory health, asthma"
DSD128X,For allergies
DSD128Z,To improve digestion
DSD128AA,"For menopause, hot flashes"
DSD128BB,"For muscle related issues, muscle cramps"
DSD128DD,"For relaxation, stress, sleep"
DSD128EE,For nervous system health
DSD128FF,"For liver health, detoxification"
DSD128GG,For antioxidants
DSD128HH,"Word of mouth, advertisement"
DSD128II,"For thyroid health, gout"
DSD128JJ,For weight gain
DSD128KK,Low levels in blood
DSD128LL,For support after surgery
DSD128MM,Headaches and dizziness
DSQ128NN,To build muscle
DSQ128S,Other
RXQ215A,"Antacid, calcium supplement or both?"
DSQIKCAL,Energy (kcal)
DSQIPROT,Protein (gm)
DSQICARB,Carbohydrate (gm)
DSQISUGR,Total sugars (gm)
DSQIFIBE,Dietary fiber (gm)
DSQITFAT,Total fat (gm)
DSQISFAT,Total saturated fatty acids (gm)
DSQIMFAT,Total monounsaturated fatty acids (gm)
DSQIPFAT,Total polyunsaturated fatty acids (gm)
DSQICHOL,Cholesterol (mg)
DSQILYCO,Lycopene (mcg)
DSQILZ,Lutein + zeaxanthin (mcg)
DSQIVB1,Thiamin (Vitamin B1) (mg)
DSQIVB2,Riboflavin (Vitamin B2) (mg)
DSQINIAC,Niacin (mg)
DSQIVB6,Vitamin B6 (mg)
DSQIFA,Folic acid (mcg)
DSQIFDFE,"Folate, DFE (mcg)"
DSQICHL,Total choline (mg)
DSQIVB12,Vitamin B12 (mcg)
DSQIVC,Vitamin C (mg)
DSQIVK,Vitamin K (mcg)
DSQIVD,Vitamin D (D2 + D3) (mcg)
DSQICALC,Calcium (mg)
DSQIPHOS,Phosphorus (mg)
DSQIMAGN,Magnesium (mg)
DSQIIRON,Iron (mg)
DSQIZINC,Zinc (mg)
DSQICOPP,Copper (mg)
DSQISODI,Sodium (mg)
DSQIPOTA,Potassium (mg)
DSQISELE,Selenium (mcg)
DSQICAFF,Caffeine (mg)
DSQIIODI,Iodine (mcg)
DSDCOUNT,Total # of Dietary Supplements Taken
DSDANCNT,Total # of Antacids Taken
DSD010,Any Dietary Supplements Taken?
DSD010AN,Any Antacids Taken?
DSQTKCAL,Energy (kcal)
DSQTPROT,Protein (gm)
DSQTCARB,Carbohydrate (gm)
DSQTSUGR,Total sugars (gm)
DSQTFIBE,Dietary fiber (gm)
DSQTTFAT,Total fat (gm)
DSQTSFAT,Total saturated fatty acids (gm)
DSQTMFAT,Total monounsaturated fatty acids (gm)
DSQTPFAT,Total polyunsaturated fatty acids (gm)
DSQTCHOL,Cholesterol (mg)
DSQTLYCO,Lycopene (mcg)
DSQTLZ,Lutein + zeaxanthin (mcg)
DSQTVB1,Thiamin (Vitamin B1) (mg)
DSQTVB2,Riboflavin (Vitamin B2) (mg)
DSQTNIAC,Niacin (mg)
DSQTVB6,Vitamin B6 (mg)
DSQTFA,Folic acid (mcg)
DSQTFDFE,"Folate, DFE (mcg)"
DSQTCHL,Total choline (mg)
DSQTVB12,Vitamin B12 (mcg)
DSQTVC,Vitamin C (mg)
DSQTVK,Vitamin K (mcg)
DSQTVD,Vitamin D (D2 + D3) (mcg)
DSQTCALC,Calcium (mg)
DSQTPHOS,Phosphorus (mg)
DSQTMAGN,Magnesium (mg)
DSQTIRON,Iron (mg)
DSQTZINC,Zinc (mg)
DSQTCOPP,Copper (mg)
DSQTSODI,Sodium (mg)
DSQTPOTA,Potassium (mg)
DSQTSELE,Selenium (mcg)
DSQTCAFF,Caffeine (mg)
DSQTIODI,Iodine (mcg)
PEASCST1,Blood Pressure Status
PEASCTM1,Blood Pressure Time in Seconds
PEASCCT1,Blood Pressure Comment
BPXCHR,60 sec HR (30 sec HR * 2)
BPAARM,Arm selected
BPACSZ,Coded cuff size
BPXPLS,60 sec. pulse (30 sec. pulse * 2)
BPXPULS,Pulse regular or irregular?
BPXPTY,Pulse type
BPXML1,MIL: maximum inflation levels (mm Hg)
BPXSY1,Systolic: Blood pres (1st rdg) mm Hg
BPXDI1,Diastolic: Blood pres (1st rdg) mm Hg
BPAEN1,Enhancement used first reading
BPXSY2,Systolic: Blood pres (2nd rdg) mm Hg
BPXDI2,Diastolic: Blood pres (2nd rdg) mm Hg
BPAEN2,Enhancement used second reading
BPXSY3,Systolic: Blood pres (3rd rdg) mm Hg
BPXDI3,Diastolic: Blood pres (3rd rdg) mm Hg
BPAEN3,Enhancement used third reading
BPXSY4,Systolic: Blood pres (4th rdg) mm Hg
BPXDI4,Diastolic: Blood pres (4th rdg) mm Hg
BPAEN4,Enhancement used fourth reading
BMDSTATS,Body Measures Component Status Code
BMXWT,Weight (kg)
BMIWT,Weight Comment
BMXRECUM,Recumbent Length (cm)
BMIRECUM,Recumbent Length Comment
BMXHEAD,Head Circumference (cm)
BMIHEAD,Head Circumference Comment
BMXHT,Standing Height (cm)
BMIHT,Standing Height Comment
BMXBMI,Body Mass Index (kg/m**2)
BMDBMIC,BMI Category - Children/Youth
BMXLEG,Upper Leg Length (cm)
BMILEG,Upper Leg Length Comment
BMXARML,Upper Arm Length (cm)
BMIARML,Upper Arm Length Comment
BMXARMC,Arm Circumference (cm)
BMIARMC,Arm Circumference Comment
BMXWAIST,Waist Circumference (cm)
BMIWAIST,Waist Circumference Comment
BMXSAD1,Sagittal Abdominal Diameter 1st (cm)
BMXSAD2,Sagittal Abdominal Diameter 2nd (cm)
BMXSAD3,Sagittal Abdominal Diameter 3rd (cm)
BMXSAD4,Sagittal Abdominal Diameter 4th (cm)
BMDAVSAD,Average Sagittal Abdominal Diameter (cm)
BMDSADCM,Sagittal Abdominal Diameter Comment
DXDAACST,Abdominal Aortic Calcification Status
DXXAACTV,AAC total invalidity code
DXXAL1CC,AAC L1 invalidity code
DXXAL2CC,AAC L2 invalidity code
DXXAL3CC,AAC L3 invalidity code
DXXAL4CC,AAC L4 invalidity code
DXXAL1,AAC L1 Posterior score
DXXAL1AN,AAC L1 Anterior score
DXXAL2,AAC L2 Posterior score
DXXAL2AN,AAC L2 Anterior score
DXXAL3,AAC L3 Posterior score
DXXAL3AN,AAC L3 Anterior score
DXXAL4,AAC L4 Posterior score
DXXAL4AN,AAC L4 Anterior score
DXXAL4MD,AAC L4 mid score
DXXAC8AN,AAC Anterior 8 score
DXXAC8PO,AAC Posterior 8 score
DXXAAC8,AAC Total 8 Score
DXXAAC24,AAC Total 24 Score
DXXAGST,Android/gynoid region status
DXXVATV,VAT and SAT invalidity code
DXXANTV,Android region invalidity code
DXXGYTV,Gynoid region invalidity code
DXXANFM,Android fat mass
DXXANLM,Android lean mass
DXXANTOM,Android total mass
DXXGYFM,Gynoid fat mass
DXXGYLM,Gynoid lean mass
DXXGYTOM,Gynoid total mass
DXXAGRAT,Android to Gynoid ratio
DXXAPFAT,Android percent fat
DXXGPFAT,Gynoid percent fat
DXXSATA,Subcutaneous fat area
DXXSATM,Subcutaneous fat mass
DXXSATV,Subcutaneous fat volume
DXXTATA,Total abdominal fat area
DXXTATM,Total abdominal fat mass
DXXTATV,Total abdominal fat volume
DXXVFATA,Visceral adipose tissue area
DXXVFATM,Visceral adipose tissue mass
DXXVFATV,Visceral adipose tissue volume
DXAFMRST,Femur scan status
DXXFMBCC,Total femur BMD invalidity code
DXXOFBMD,Total femur BMD
DXXOFBMC,Total femur BMC
DXXOFA,Total femur area
DXXNKBMD,Femoral neck BMD
DXXNKBMC,Femoral neck BMC
DXXNKA,Femoral neck area
DXXTRBMD,Trochanter BMD
DXXTRBMC,Trochanter BMC
DXXTRA,Trochanter area
DXXINBMD,Intertrochanter BMD
DXXINBMC,Intertrochanter BMC
DXXINA,Intertrochanter area
DXXWDBMD,Wards triangle BMD
DXXWDBMC,Wards triangle BMC
DXXWDA,Wards triangle area
DXAFMRK,Calculated K for femur
DXAFMRD0,Calculated DO for femur
DXXPRVFX,Self-reported fracture age 20+
DXXFRAX1,"Hip FRAX, previous fracture"
DXXFRAX2,"Major FRAX, previous fracture"
DXXFRAX3,"Hip FRAX, no previous fracture"
DXXFRAX4,"Major FRAX, no previous fracture"
DXDLSPST,IVA lateral spine scan status
DXXL1CC,L1 fracture invalidity code
DXXINITX,x-coordinate used as center point
DXXINITY,y-coordinate used as center point
DXXANIDX,Number of vertebra
DXXLABEL,Label of the vertebra (T4 to L4)
DXXSQSCR,Genant SQ score
DXXPOSTH,Posterior height of the vertebra
DXXANTEH,Anterior height of the vertebra
DXXMIDH,Middle height of the vertebra
DXXWDGRT,Amount of wedge
DXXBICRT,Amount of biconcave
DXXCRURT,Amount of UCSF crush
DXXWDGDE,Percentage of wedge deformity
DXXBICDE,Percentage of biconcave deformity
DXXCRUDE,Percentage of UCSF crush deformity
DXXSPX,x-coordinate of superior posterior point
DXXSPY,y-coordinate of superior posterior point
DXXSMX,x-coordinate of superior mid point
DXXSMY,y-coordinate of superior mid point
DXXSAX,x-coordinate of superior anterior point
DXXSAY,y-coordinate of superior anterior point
DXXIAX,x-coordinate of inferior anterior point
DXXIAY,y-coordinate of inferior anterior point
DXXIMX,x-coordinate of inferior mid point
DXXIMY,y-coordinate of inferior mid point
DXXIPX,x-coordinate of inferior posterior point
DXXIPY,y-coordinate of inferior posterior point
DXXPT0X,x-coordinate of first outline point
DXXPT0Y,y-coordinate of first outline point
DXXPT1X,x-coordinates of outline points 2
DXXPT1Y,y-coordinates of outline points 2
DXXPT2X,x-coordinates of outline points 3
DXXPT2Y,y-coordinates of outline points 3
DXXPT3X,x-coordinates of outline points 4
DXXPT3Y,y-coordinates of outline points 4
DXXPT4X,x-coordinates of outline points 5
DXXPT4Y,y-coordinates of outline points 5
DXXPT5X,x-coordinates of outline points 6
DXXPT5Y,y-coordinates of outline points 6
DXXPT6X,x-coordinates of outline points 7
DXXPT6Y,y-coordinates of outline points 7
DXXPT7X,x-coordinates of outline points 8
DXXPT7Y,y-coordinates of outline points 8
DXXPT8X,x-coordinates of outline points 9
DXXPT8Y,y-coordinates of outline points 9
DXXPT9X,x-coordinates of outline points 10
DXXPT9Y,y-coordinates of outline points 10
DXXPT10X,x-coordinates of outline points 11
DXXPT10Y,y-coordinates of outline points 11
DXXPT11X,x-coordinates of outline points 12
DXXPT11Y,y-coordinates of outline points 12
DXXPT12X,x-coordinates of outline points 13
DXXPT12Y,y-coordinates of outline points 13
DXXPT13X,x-coordinates of outline points 14
DXXPT13Y,y-coordinates of outline points 14
DXXPT14X,x-coordinates of outline points 15
DXXPT14Y,y-coordinates of outline points 15
DXXPT15X,x-coordinates of outline points 16
DXXPT15Y,y-coordinates of outline points 16
DXXPT16X,x-coordinates of outline points 17
DXXPT16Y,y-coordinates of outline points 17
DXXPT17X,x-coordinates of outline points 18
DXXPT17Y,y-coordinates of outline points 18
DXXPT18X,x-coordinates of outline points 19
DXXPT18Y,y-coordinates of outline points 19
DXXPT19X,x-coordinates of outline points 20
DXXPT19Y,y-coordinates of outline points 20
DXXPT20X,x-coordinates of outline points 21
DXXPT20Y,y-coordinates of outline points 21
DXXPT21X,x-coordinates of outline points 22
DXXPT21Y,y-coordinates of outline points 22
DXXPT22X,x-coordinates of outline points 23
DXXPT22Y,y-coordinates of outline points 23
DXXPT23X,x-coordinates of outline points 24
DXXPT23Y,y-coordinates of outline points 24
DXXPT24X,x-coordinates of outline points 25
DXXPT24Y,y-coordinates of outline points 25
DXXPT25X,x-coordinates of outline points 26
DXXPT25Y,y-coordinates of outline points 26
DXXPT26X,x-coordinates of outline points 27
DXXPT26Y,y-coordinates of outline points 27
DXXPT27X,x-coordinates of outline points 28
DXXPT27Y,y-coordinates of outline points 28
DXXPT28X,x-coordinates of outline points 29
DXXPT28Y,y-coordinates of outline points 29
DXXPT29X,x-coordinates of outline points 30
DXXPT29Y,y-coordinates of outline points 30
DXXPT30X,x-coordinates of outline points 31
DXXPT30Y,y-coordinates of outline points 31
DXXPT31X,x-coordinates of outline points 32
DXXPT31Y,y-coordinates of outline points 32
DXXPT32X,x-coordinates of outline points 33
DXXPT32Y,y-coordinates of outline points 33
DXXPT33X,x-coordinates of outline points 34
DXXPT33Y,y-coordinates of outline points 34
DXXPT34X,x-coordinates of outline points 35
DXXPT34Y,y-coordinates of outline points 35
DXXPT35X,x-coordinates of outline points 36
DXXPT35Y,y-coordinates of outline points 36
DXXPT36X,x-coordinates of outline points 37
DXXPT36Y,y-coordinates of outline points 37
DXXPT37X,x-coordinates of outline points 38
DXXPT37Y,y-coordinates of outline points 38
DXXPT38X,x-coordinates of outline points 39
DXXPT38Y,y-coordinates of outline points 39
DXXPT39X,x-coordinates of outline points 40
DXXPT39Y,y-coordinates of outline points 40
DXXPT40X,x-coordinates of outline points 41
DXXPT40Y,y-coordinates of outline points 41
DXXPT41X,x-coordinates of outline points 42
DXXPT41Y,y-coordinates of outline points 42
DXXPT42X,x-coordinates of outline points 43
DXXPT42Y,y-coordinates of outline points 43
DXXPT43X,x-coordinates of outline points 44
DXXPT43Y,y-coordinates of outline points 44
DXXPT44X,x-coordinates of outline points 45
DXXPT44Y,y-coordinates of outline points 45
DXXPT45X,x-coordinates of outline points 46
DXXPT45Y,y-coordinates of outline points 46
DXXPT46X,x-coordinates of outline points 47
DXXPT46Y,y-coordinates of outline points 47
DXXPT47X,x-coordinates of outline points 48
DXXPT47Y,y-coordinates of outline points 48
DXXPT48X,x-coordinates of outline points 49
DXXPT48Y,y-coordinates of outline points 49
DXXPT49X,x-coordinates of outline points 50
DXXPT49Y,y-coordinates of outline points 50
DXXPT50X,x-coordinates of outline points 51
DXXPT50Y,y-coordinates of outline points 51
DXXPT51X,x-coordinates of outline points 52
DXXPT51Y,y-coordinates of outline points 52
DXXPT52X,x-coordinates of outline points 53
DXXPT52Y,y-coordinates of outline points 53
DXXPT53X,x-coordinates of outline points 54
DXXPT53Y,y-coordinates of outline points 54
DXXPT54X,x-coordinates of outline points 55
DXXPT54Y,y-coordinates of outline points 55
DXXPT55X,x-coordinates of outline points 56
DXXPT55Y,y-coordinates of outline points 56
DXXPT56X,x-coordinates of outline points 57
DXXPT56Y,y-coordinates of outline points 57
DXXPT57X,x-coordinates of outline points 58
DXXPT57Y,y-coordinates of outline points 58
DXXPT58X,x-coordinates of outline points 59
DXXPT58Y,y-coordinates of outline points 59
DXXPT59X,x-coordinates of outline points 60
DXXPT59Y,y-coordinates of outline points 60
DXXPT60X,x-coordinates of outline points 61
DXXPT60Y,y-coordinates of outline points 61
DXXPT61X,x-coordinates of outline points 62
DXXPT61Y,y-coordinates of outline points 62
DXXPT62X,x-coordinates of outline points 63
DXXPT62Y,y-coordinates of outline points 63
DXXPT63X,x-coordinates of outline points 64
DXXPT63Y,y-coordinates of outline points 64
DXXPT64X,x-coordinates of outline points 65
DXXPT64Y,y-coordinates of outline points 65
DXXPT65X,x-coordinates of outline points 66
DXXPT65Y,y-coordinates of outline points 66
DXXPT66X,x-coordinates of outline points 67
DXXPT66Y,y-coordinates of outline points 67
DXXPT67X,x-coordinates of outline points 68
DXXPT67Y,y-coordinates of outline points 68
DXXPT68X,x-coordinates of outline points 69
DXXPT68Y,y-coordinates of outline points 69
DXXPT69X,x-coordinates of outline points 70
DXXPT69Y,y-coordinates of outline points 70
DXXPT70X,x-coordinates of outline points 71
DXXPT70Y,y-coordinates of outline points 71
DXXPT71X,x-coordinates of outline points 72
DXXPT71Y,y-coordinates of outline points 72
DXXPT72X,x-coordinates of outline points 73
DXXPT72Y,y-coordinates of outline points 73
DXXPT73X,x-coordinates of outline points 74
DXXPT73Y,y-coordinates of outline points 74
DXXPT74X,x-coordinates of outline points 75
DXXPT74Y,y-coordinates of outline points 75
DXXPT75X,x-coordinates of outline points 76
DXXPT75Y,y-coordinates of outline points 76
DXXPT76X,x-coordinates of outline points 77
DXXPT76Y,y-coordinates of outline points 77
DXXPT77X,x-coordinates of outline points 78
DXXPT77Y,y-coordinates of outline points 78
DXXPT78X,x-coordinates of outline points 79
DXXPT78Y,y-coordinates of outline points 79
DXXPT79X,x-coordinates of outline points 80
DXXPT79Y,y-coordinates of outline points 80
DXXPT80X,x-coordinates of outline points 81
DXXPT80Y,y-coordinates of outline points 81
DXXPT81X,x-coordinates of outline points 82
DXXPT81Y,y-coordinates of outline points 82
DXXPT82X,x-coordinates of outline points 83
DXXPT82Y,y-coordinates of outline points 83
DXXPT83X,x-coordinates of outline points 84
DXXPT83Y,y-coordinates of outline points 84
DXXPT84X,x-coordinates of outline points 85
DXXPT84Y,y-coordinates of outline points 85
DXXPT85X,x-coordinates of outline points 86
DXXPT85Y,y-coordinates of outline points 86
DXXPT86X,x-coordinates of outline points 87
DXXPT86Y,y-coordinates of outline points 87
DXXPT87X,x-coordinates of outline points 88
DXXPT87Y,y-coordinates of outline points 88
DXXPT88X,x-coordinates of outline points 89
DXXPT88Y,y-coordinates of outline points 89
DXXPT89X,x-coordinates of outline points 90
DXXPT89Y,y-coordinates of outline points 90
DXXPT90X,x-coordinates of outline points 91
DXXPT90Y,y-coordinates of outline points 91
DXXPT91X,x-coordinates of outline points 92
DXXPT91Y,y-coordinates of outline points 92
DXXPT92X,x-coordinates of outline points 93
DXXPT92Y,y-coordinates of outline points 93
DXXPT93X,x-coordinates of outline points 94
DXXPT93Y,y-coordinates of outline points 94
DXXPT94X,x-coordinates of outline points 95
DXXPT94Y,y-coordinates of outline points 95
DXXL2CC,L2 fracture invalidity code
DXXL3CC,L3 fracture invalidity code
DXXL4CC,L4 fracture invalidity code
DXASPNST,Spine scan status
DXXOSBCC,Total spine BMD invalidity code
DXXL1BCC,L1 BMD invalidity code
DXXL2BCC,L2 BMD invalidity code
DXXL3BCC,L3 BMD invalidity code
DXXL4BCC,L4 BMD invalidity code
DXXOSBMD,Total spine BMD
DXXOSBMC,Total spine BMC
DXXOSA,Total spine area
DXXL1BMD,L1 BMD
DXXL1BMC,L1 BMC
DXXL1A,L1 area
DXXL2BMD,L2 BMD
DXXL2BMC,L2 BMC
DXXL2A,L2 area
DXXL3BMD,L3 BMD
DXXL3BMC,L3 BMC
DXXL3A,L3 area
DXXL4BMD,L4 BMD
DXXL4BMC,L4 BMC
DXXL4A,L4 area
DXASPNK,Calculated K for spine
DXASPND0,Calculated DO for spine
DXXT10CC,T10 fracture invalidity code
DXXT11CC,T11 fracture invalidity code
DXXT12CC,T12 fracture invalidity code
DXXT4CC,T4 fracture invalidity code
DXXT5CC,T5 fracture invalidity code
DXXT6CC,T6 fracture invalidity code
DXXT7CC,T7 fracture invalidity code
DXXT8CC,T8 fracture invalidity code
DXXT9CC,T9 fracture invalidity code
DXXVFAST,Vertebral fracture status summary
DXXT4FX,T4 fracture score
DXXT5FX,T5 fracture score
DXXT6FX,T6 fracture score
DXXT7FX,T7 fracture score
DXXT8FX,T8 fracture score
DXXT9FX,T9 fracture score
DXXT10FX,T10 fracture score
DXXT11FX,T11 fracture score
DXXT12FX,T12 fracture score
DXXL1FX,L1 fracture score
DXXL2FX,L2 fracture score
DXXL3FX,L3 fracture score
DXXL4FX,L4 fracture score
DXAEXSTS,Exam Status
DXAHEBV,Head Bone Invalidity Code
DXXHEA,Head Area (cm^2)
DXXHEBMC,Head Bone Mineral Content (g)
DXXHEBMD,Head Bone Mineral Density (g/cm^2)
DXAHETV,Head Tissue Invalidity Code
DXXHEFAT,Head Fat (g)
DXDHELE,Head Lean excl BMC (g)
DXXHELI,Head Lean incl BMC (g)
DXDHETOT,Head Total (g)
DXDHEPF,Head Percent Fat
DXALABV,Left Arm Bone Invalidity Code
DXXLAA,Left Arm Area (cm^2)
DXXLABMC,Left Arm BMC (g)
DXXLABMD,Left Arm BMD (g/cm^2)
DXALATV,Left Arm Tissue Invalidity Code
DXXLAFAT,Left Arm Fat (g)
DXDLALE,Left Arm Lean excl BMC (g)
DXXLALI,Left Arm Lean incl BMC (g)
DXDLATOT,Left Arm Total (g)
DXDLAPF,Left Arm Percent Fat
DXALLBV,Left Leg Bone Invalidity Code
DXXLLA,Left Leg Area (cm^2)
DXXLLBMC,Left Leg BMC (g)
DXXLLBMD,Left Leg BMD (g/cm^2)
DXALLTV,Left Leg Tissue Invalidity Code
DXXLLFAT,Left Leg Fat (g)
DXDLLLE,Left Leg Lean excl BMC (g)
DXXLLLI,Left Leg Lean incl BMC (g)
DXDLLTOT,Left Leg Total (g)
DXDLLPF,Left Leg Percent Fat
DXARABV,Right Arm Bone Invalidity Code
DXXRAA,Right Arm Area (cm^2)
DXXRABMC,Right Arm BMC (g)
DXXRABMD,Right Arm BMD (g/cm^2)
DXARATV,Right Arm Tissue Invalidity Code
DXXRAFAT,Right Arm Fat (g)
DXDRALE,Right Arm Lean excl BMC (g)
DXXRALI,Right Arm Lean incl BMC (g)
DXDRATOT,Right Arm Total (g)
DXDRAPF,Right Arm Percent Fat
DXARLBV,Right Leg Bone Invalidity Code
DXXRLA,Right Leg Area (cm^2)
DXXRLBMC,Right Leg BMC (g)
DXXRLBMD,Right Leg BMD(g/cm^2)
DXARLTV,Right Leg Tissue Invalidity Code
DXXRLFAT,Right Leg Fat (g)
DXDRLLE,Right Leg Lean excl BMC (g)
DXXRLLI,Right Leg Lean incl BMC (g)
DXDRLTOT,Right Leg Total (g)
DXDRLPF,Right Leg Percent Fat
DXXLRA,Left Ribs Area (cm^2)
DXXLRBMC,Left Ribs BMC (g)
DXXLRBMD,Left Ribs BMD (g/cm^2)
DXXRRA,Right Ribs Area (cm^2)
DXXRRBMC,Right Ribs BMC (g)
DXXRRBMD,Right Ribs BMD (g/cm^2)
DXXTSA,Thoracic Spine Area (cm^2)
DXXTSBMC,Thoracic Spine BMC (g)
DXXTSBMD,Thoracic Spine BMD (g/cm^2)
DXXLSA,Lumbar Spine Area (cm^2)
DXXLSBMC,Lumbar Spine BMC (g)
DXXLSBMD,Lumbar Spine BMD (g/cm^2)
DXXPEA,Pelvis Area (cm^2)
DXXPEBMC,Pelvis BMC (g)
DXXPEBMD,Pelvis BMD (g/cm^2)
DXATRBV,Trunk Bone Invalidity Code
DXDTRA,Trunk Bone area (cm^2)
DXDTRBMC,Trunk BMC (g)
DXDTRBMD,Trunk Bone BMD (g/cm^2)
DXATRTV,Trunk Tissue Invalidity Code
DXXTRFAT,Trunk Fat (g)
DXDTRLE,Trunk Lean excl BMC (g)
DXXTRLI,Trunk Lean incl BMC (g)
DXDTRTOT,Trunk Total (g)
DXDTRPF,Trunk Percent Fat
DXDSTA,Subtotal Area (cm^2)
DXDSTBMC,Subtotal BMC (g)
DXDSTBMD,Subtotal BMD (g/cm^2)
DXDSTFAT,Subtotal Fat (g)
DXDSTLE,Subtotal Lean excl BMC (g)
DXDSTLI,Subtotal Lean incl BMC (g)
DXDSTTOT,Subtotal (Total excl Head) (g)
DXDSTPF,Subtotal Percent Fat
DXDTOA,Total Area (cm^2)
DXDTOBMC,Total Bone Mineral Content (g)
DXDTOBMD,Total Bone Mineral Density (g/cm^2)
DXDTOFAT,Total Fat (g)
DXDTOLE,Total Lean excl BMC (g)
DXDTOLI,Total Lean incl BMC (g)
DXDTOTOT,Total Lean+Fat (g)
DXDTOPF,Total Percent Fat
FCX02DI,Fluorosis DI: #2
FCX03DI,Fluorosis DI: #3
FCX04DI,Fluorosis DI: #4
FCX05DI,Fluorosis DI: #5
FCX06DI,Fluorosis DI: #6
FCX07DI,Fluorosis DI: #7
FCX08DI,Fluorosis DI: #8
FCX09DI,Fluorosis DI: #9
FCX10DI,Fluorosis DI: #10
FCX11DI,Fluorosis DI: #11
FCX12DI,Fluorosis DI: #12
FCX13DI,Fluorosis DI: #13
FCX14DI,Fluorosis DI: #14
FCX15DI,Fluorosis DI: #15
FCX18DI,Fluorosis DI: #18
FCX19DI,Fluorosis DI: #19
FCX20DI,Fluorosis DI: #20
FCX21DI,Fluorosis DI: #21
FCX22DI,Fluorosis DI: #22
FCX23DI,Fluorosis DI: #23
FCX24DI,Fluorosis DI: #24
FCX25DI,Fluorosis DI: #25
FCX26DI,Fluorosis DI: #26
FCX27DI,Fluorosis DI: #27
FCX28DI,Fluorosis DI: #28
FCX29DI,Fluorosis DI: #29
FCX30DI,Fluorosis DI: #30
FCX31DI,Fluorosis DI: #31
MGDEXSTS,Grip test status
MGD050,Ever had surgery on hands or wrists
MGD060,Which hand or wrist had surgery
MGQ070,Recent pain/aching/stiffness-right hand
MGQ080,Cause of recent pain in right hand
MGQ090,Pain in right hand gotten worse recently
MGQ100,Recent pain/aching/stiffness-left hand
MGQ110,Cause of recent pain in left hand
MGQ120,Pain in left hand gotten worse recently
MGD130,Dominant hand
MGQ90DG,90 degree angle with index finger
MGDSEAT,Testing position
MGAPHAND,Hand assigned for practice trial
MGATHAND,Begin the test with this hand.
MGXH1T1,"Grip strength (kg), hand 1, test 1"
MGXH1T1E,"Grip strength, hand 1, test 1 effort"
MGXH2T1,"Grip strength (kg), hand 2, test 1"
MGXH2T1E,"Grip strength, hand 2, test 1 effort"
MGXH1T2,"Grip strength (kg), hand 1, test 2"
MGXH1T2E,"Grip strength, hand 1, test 2 effort"
MGXH2T2,"Grip strength (kg), hand 2, test 2"
MGXH2T2E,"Grip strength, hand 2, test 2 effort"
MGXH1T3,"Grip strength (kg), hand 1, test 3"
MGXH1T3E,"Grip strength, hand 1, test 3 effort"
MGXH2T3,"Grip strength (kg), hand 2, test 3"
MGXH2T3E,"Grip strength, hand 2, test 3 effort"
MGDCGSZ,Combined grip strength (kg)
OHDEXSTS,Overall Oral Health Exam Status
OHDDESTS,Dentition Status Code
OHXIMP,Dental Implant: yes / no?
OHX01TC,Tooth Count:  #1
OHX02TC,Tooth Count:  #2
OHX03TC,Tooth Count:  #3
OHX04TC,Tooth Count:  #4
OHX05TC,Tooth Count:  #5
OHX06TC,Tooth Count:  #6
OHX07TC,Tooth Count:  #7
OHX08TC,Tooth Count:  #8
OHX09TC,Tooth Count:  #9
OHX10TC,Tooth Count:  #10
OHX11TC,Tooth Count:  #11
OHX12TC,Tooth Count:  #12
OHX13TC,Tooth Count:  #13
OHX14TC,Tooth Count:  #14
OHX15TC,Tooth Count:  #15
OHX16TC,Tooth Count:  #16
OHX17TC,Tooth Count:  #17
OHX18TC,Tooth Count:  #18
OHX19TC,Tooth Count:  #19
OHX20TC,Tooth Count:  #20
OHX21TC,Tooth Count:  #21
OHX22TC,Tooth Count:  #22
OHX23TC,Tooth Count:  #23
OHX24TC,Tooth Count:  #24
OHX25TC,Tooth Count:  #25
OHX26TC,Tooth Count:  #26
OHX27TC,Tooth Count:  #27
OHX28TC,Tooth Count:  #28
OHX29TC,Tooth Count:  #29
OHX30TC,Tooth Count:  #30
OHX31TC,Tooth Count:  #31
OHX32TC,Tooth Count:  #32
OHX02CTC,Coronal Caries: Tooth Count #2
OHX03CTC,Coronal Caries: Tooth Count #3
OHX04CTC,Coronal Caries: Tooth Count #4
OHX05CTC,Coronal Caries: Tooth Count #5
OHX06CTC,Coronal Caries: Tooth Count #6
OHX07CTC,Coronal Caries: Tooth Count #7
OHX08CTC,Coronal Caries: Tooth Count #8
OHX09CTC,Coronal Caries: Tooth Count #9
OHX10CTC,Coronal Caries: Tooth Count #10
OHX11CTC,Coronal Caries: Tooth Count #11
OHX12CTC,Coronal Caries: Tooth Count #12
OHX13CTC,Coronal Caries: Tooth Count #13
OHX14CTC,Coronal Caries: Tooth Count #14
OHX15CTC,Coronal Caries: Tooth Count #15
OHX18CTC,Coronal Caries: Tooth Count #18
OHX19CTC,Coronal Caries: Tooth Count #19
OHX20CTC,Coronal Caries: Tooth Count #20
OHX21CTC,Coronal Caries: Tooth Count #21
OHX22CTC,Coronal Caries: Tooth Count #22
